 350000.0000,8787226.7238, 616944.2487, 371984.2704,      0.0000, 360824.7423,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000, 350000.0000,      0.0000,      0.0000,      0.0000,0.00****
 350000.0000,1036234.3410,1932089.8189, 371984.2704,      0.0000, 360824.7423,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000, 350000.0000,      0.0000,      0.0000,      0.0000,0.00****
 350000.0000,6488220.0000, 781337.0000, 371984.0000,-111111.0000, 360825.0000,-111111.0000,-111111.0000,-111111.0000,-111111.0000,-111111.0000,-111111.0000,-111111.0000,-111111.0000,-111111.0000, 350000.0000,-111111.0000,-111111.0000,-111111.0000,-111****
 350000.0000,6488218.3774, 781337.4000, 371984.2704,      0.0000, 360824.7423,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000, 350000.0000,      0.0000,      0.0000,      0.0000,0.00****
 350000.0000,4189210.7084, 945730.6000, 371984.2704,      0.0000, 360824.7423,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000, 350000.0000,      0.0000,      0.0000,      0.0000,0.00****
 350000.0000,1890200.5234,1110124.0000, 371984.2704,      0.0000, 360824.7423,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000, 350000.0000,      0.0000,      0.0000,      0.0000,0.00****
 350000.0000,1178061.3718,1274517.0000, 371984.2704,      0.0000, 360824.7423,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000, 350000.0000,      0.0000,      0.0000,      0.0000,0.00****
 350000.0000,1142604.2018,1438910.0000, 371984.2704,      0.0000, 360824.7423,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000, 350000.0000,      0.0000,      0.0000,      0.0000,0.00****
 350000.0000,1107147.0660,1603303.0000, 371984.2704,      0.0000, 360824.7423,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000, 350000.0000,      0.0000,      0.0000,      0.0000,0.00****
 350000.0000,1071690.4434,1767697.0000, 371984.2704,      0.0000, 360824.7423,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000, 350000.0000,      0.0000,      0.0000,      0.0000,0.00****
