"i","j","Val"
"1","1",0.700009474382323
"1","2",-0.285737920661778
"1","3",0
"1","4",0
"1","5",0
"1","6",0
"2","1",-0.599191519375112
"2","2",0.85903365294227
"2","3",-4
"2","4",-5
"2","5",0
"2","6",0
"3","1",0
"3","2",0
"3","3",20
"3","4",-8
"3","5",-0.01
"3","6",0
"4","1",0
"4","2",0
"4","3",-5
"4","4",40
"4","5",0
"4","6",-0.02
"5","1",0
"5","2",0
"5","3",0
"5","4",0
"5","5",1
"5","6",2
