 350000.0000,6947960.7545, 748463.0000,      0.0000, 196659.6560,      0.0000,      0.0000, 244975.7551,      0.0000,      0.0069, 123999.5620,      0.0000, 651200.8067, 123999.5620,      0.0000, 651200.8067,      0.0000,
 350000.0000,5108706.2603, 879981.0000,      0.0000, 236838.1120,      0.0000,      0.0000, 288022.2835,      0.0000,      0.0029, 247998.3504,      0.0000, 442721.2168, 247998.3504,      0.0000, 442721.2168,      0.0000,
 350000.0000,3269452.2421,1011499.0000,      0.0000, 277017.6235,      0.0000,      0.0000, 331068.7977,      0.0000,      0.0034, 371997.1071,      0.0000, 234241.6801, 371997.1071,      0.0000, 234241.6801,      0.0000,
 350000.0000,1430184.2391,1143018.0000,      0.0000, 317197.4405,      0.0000,      0.0000, 374115.6393,      0.0000,      0.0038, 495996.8066,      0.0000,  25760.5583, 495996.8066,      0.0000,  25760.5583,      0.0000,
 350000.0000,1178057.2738,1274536.0000,      0.0000, 322157.4862,      0.0000,      0.0000, 322840.9037, 126392.6779,      0.0000, 511318.5847,      0.0000,      0.0000, 511318.5847,      0.0000,      0.0000,      0.0000,
 350000.0000,1149690.7581,1406054.0000,      0.0000, 322152.8157,      0.0000,      0.0000, 258268.3315, 270604.7557,      0.0000, 511318.5847,      0.0000,      0.0000, 511318.5847,      0.0000,      0.0000,      0.0000,
 350000.0000,1121324.0533,1537573.0000,      0.0000, 322149.3143,      0.0000,      0.0000, 193695.3290, 414817.7947,      0.0000, 511318.5847,      0.0000,      0.0000, 511318.5847,      0.0000,      0.0000,      0.0000,
 350000.0000,1092957.7014,1669091.0000,      0.0000, 322146.5687,      0.0000,      0.0000, 129123.1296, 559029.0401,      0.0000, 511318.5847,      0.0000,      0.0000, 511318.5847,      0.0000,      0.0000,      0.0000,
 350000.0000,1064592.0114,1800609.0000,      0.0000, 322146.9147,      0.0000,      0.0000,  64552.4371, 703236.9200,      0.0000, 511318.5847,      0.0000,      0.0000, 511318.5847,      0.0000,      0.0000,      0.0000,
 350000.0000,1149690.7581,1406054.0000,      0.0000, 322152.8157,      0.0000,      0.0000, 258268.3315, 270604.7557,      0.0000, 511318.5847,      0.0000,      0.0000, 511318.5847,      0.0000,      0.0000,      0.0000,
