 350000.0000,      0.0000, 669927.2539,      6.0285, 163894.9077
 350000.0000,      0.0000, 669927.2539,      6.0285, 163894.9077
 350000.0000,      0.0000, 669927.2539,      6.0285, 163894.9077
 350000.0000,      0.0000, 669927.2539,      6.0285, 163894.9077
 350000.0000,      0.0000, 669927.2539,      6.0285, 163894.9077
 350000.0000,      0.0000, 669927.2539,      6.0285, 163894.9077
 350000.0000,      0.0000, 669927.2539,      6.0285, 163894.9077
 350000.0000,   8923.8647, 711302.0000,      6.0277, 163892.5318
 350000.0000,  17847.7842, 752677.0000,      6.0269, 163890.1558
 350000.0000,  26771.4879, 794051.0000,      6.0262, 163887.7881
 350000.0000,  35695.3073, 835426.0000,      6.0259, 163886.6791
 350000.0000,  44619.0286, 876801.0000,      6.0260, 163886.7755
 350000.0000,  53542.7499, 918176.0000,      6.0262, 163886.8720
 350000.0000,  62466.2555, 959550.0000,      6.0264, 163886.9684
 350000.0000,  71389.9768,1000925.0000,      6.0265, 163887.0649
 350000.0000,  80313.6981,1042300.0000,      6.0267, 163887.1614
